,DateTime,Modulation,fs_set(Hz),D_set(-),Vin_set,Pout_set,SourceInputVoltage(V),DMMInputVoltage(V),SourceInputCurrent(A),SourceInputPower(A),SinkOutputVoltage(V),DMMOutputVoltage(V),SinkOutputCurrent(A),SinkOutputPower(A),fs_meas(Hz),Duty100(-),TC11,TC12,TC21,TC22,TS1,TS2,TSCR11,TSCR12,TSCR21,TSCR22,TSCR23,TSCR24
0,20191106142147_,D1110,15000.0,0.55,0.0,0.0,1.25,1.1399264,-0.24,0.0,1.75,2.07718306,-0.02,0.0,15055.6395015813,43.453895997392,24.491,24.491,20.076002272727283,19.945520930232572,23.49598863636363,23.835911363636363,20.615463636363632,21.521120454545468,20.205956818181818,19.928323255813947,20.827320454545458,20.73997272727274
1,20191106142200_,D1110,15000.0,0.55,27.500000000000004,0.0,27.5,27.5646441,0.48,0.0,49.0,49.6572346,-0.02,0.0,15059.2713153679,43.4523894643054,24.51,24.481,20.08239318181818,19.95448372093022,23.50877272727272,23.848220454545466,20.621854545454553,21.52585454545454,20.21353181818181,19.935590697674414,20.83915454545454,20.74731136363637
